rallyid,server,x,y
1,Djokovic,1.86,16.8
3,Djokovic,7.05,16.97
6,Djokovic,8.04,17.8
8,Nadal,4.44,16.24
9,Nadal,5.71,16.4
11,Nadal,4.66,16.24
13,Nadal,5.83,16.72
14,Nadal,0.98,17.3
15,Djokovic,5.58,5.41
17,Djokovic,3.87,10.83
18,Djokovic,5.14,6.51
20,Nadal,6.68,4.64
22,Nadal,2.77,6.71
23,Nadal,4.27,6.51
24,Nadal,7.55,6.66
25,Nadal,1.01,7.63
26,Nadal,5.03,6.32
28,Nadal,3.07,6.41
29,Nadal,7.98,5.93
30,Nadal,1.16,7.9
32,Djokovic,4.53,17.89
34,Djokovic,7.15,17.46
36,Nadal,3.19,16.16
37,Nadal,8.4,16.16
38,Nadal,4.53,15.92
40,Nadal,5.88,16.48
42,Nadal,3.68,16.56
43,Nadal,7.76,16
44,Djokovic,8.23,6.96
46,Djokovic,2.61,11.58
48,Djokovic,5.31,5.79
49,Djokovic,1.86,8.77
51,Nadal,7.08,6.81
54,Nadal,1.83,8
56,Nadal,5.3,6.36
57,Nadal,4.13,7.48
59,Djokovic,1.4,16.64
60,Djokovic,4.74,15.53
62,Djokovic,1.68,16.32
63,Djokovic,5.08,16.8
64,Djokovic,0.86,16
65,Nadal,1.63,16.26
66,Nadal,8.69,17.43
67,Nadal,4.63,17.09
70,Nadal,7.35,16.26
71,Nadal,4.91,15.54
73,Nadal,8.08,15.54
75,Djokovic,2.05,16.84
77,Djokovic,6.16,15.85
78,Djokovic,3.93,16.26
79,Djokovic,5.13,16.67
80,Nadal,5.24,6.79
82,Nadal,7.76,6.49
84,Nadal,3.14,7.48
86,Nadal,7.34,6.44
87,Nadal,1.6,7.91
89,Djokovic,5.9,5.94
91,Djokovic,2.89,9.56
92,Djokovic,5,5.94
93,Djokovic,4.92,10.41
94,Djokovic,4.65,6.85
96,Nadal,3.95,17.35
97,Nadal,8.08,17.01
98,Nadal,1.46,16.18
99,Nadal,7.63,16.01
100,Nadal,4.37,16.01
103,Djokovic,1.24,16.76
104,Djokovic,8.25,16.67
105,Djokovic,1.24,16.18
108,Djokovic,5.42,16.51
109,Djokovic,0.93,15.94
110,Djokovic,4.94,16.1
111,Djokovic,1.63,17.52
112,Djokovic,5.2,16.59
114,Djokovic,1.4,15.77
115,Djokovic,4.86,15.46
117,Nadal,7.45,6.54
120,Nadal,7.71,7
122,Nadal,4.86,6.49
123,Nadal,5.65,5.89
126,Djokovic,1.79,8.97
127,Djokovic,4.54,7.96
128,Djokovic,1.46,8.41
130,Nadal,4.38,17.18
131,Nadal,7.73,16.1
132,Nadal,0.89,17.09
134,Nadal,7.25,16.1
135,Nadal,3.67,16.76
136,Nadal,8.57,16.67
139,Djokovic,2.74,17.52
141,Djokovic,5.51,17.35
143,Djokovic,4.19,16.51
146,Djokovic,8.41,17.26
147,Nadal,5.04,5.22
149,Nadal,4.78,4.26
152,Nadal,2.13,7.91
154,Nadal,6.25,6.34
155,Nadal,1.74,7.05
156,Djokovic,8.19,6.79
157,Djokovic,2.04,10.23
158,Djokovic,8.2,8.13
161,Djokovic,8.14,6.14
162,Nadal,4,17.52
163,Nadal,8.46,16.67
164,Nadal,1.27,16.42
168,Nadal,0.97,17.18
169,Djokovic,3.5,17.87
170,Djokovic,4.91,16.92
171,Djokovic,0.95,16.84
173,Djokovic,5.28,16.1
174,Djokovic,1.3,16.26
175,Djokovic,5.07,16.76
176,Djokovic,1.05,15.3
178,Djokovic,8.07,17.18
179,Nadal,6.08,6.19
180,Nadal,4.64,7.42
182,Nadal,7.9,6.95
183,Nadal,4.58,7
186,Nadal,5.6,7.42
188,Djokovic,7.69,7.11
189,Djokovic,4.46,8.55
190,Djokovic,4.65,6.74
191,Djokovic,4.65,8.86
193,Djokovic,4.43,6.95
194,Djokovic,4.82,8.29
195,Djokovic,8.1,7.16
196,Djokovic,6.08,7.85
198,Nadal,4.41,16.42
199,Nadal,5.89,16.42
201,Nadal,2.38,17.43
202,Nadal,8.29,15.88
204,Nadal,3.21,16.24
206,Nadal,6.49,16.64
